x,y,r,g,b,hex
0,0,3,3,3,#ffffff
1,0,3,3,3,#ffffff
2,0,3,3,3,#ffffff
3,0,3,3,3,#ffffff
4,0,3,3,3,#ffffff
5,0,3,3,3,#ffffff
6,0,3,3,3,#ffffff
7,0,3,3,3,#ffffff
8,0,3,3,3,#ffffff
9,0,3,3,3,#ffffff
10,0,3,3,3,#ffffff
11,0,3,3,3,#ffffff
12,0,3,3,3,#ffffff
13,0,3,3,3,#ffffff
14,0,3,3,3,#ffffff
15,0,3,3,3,#ffffff
16,0,3,3,3,#ffffff
17,0,3,3,3,#ffffff
18,0,3,3,3,#ffffff
19,0,3,3,3,#ffffff
20,0,3,3,3,#ffffff
21,0,3,3,3,#ffffff
22,0,3,3,3,#ffffff
23,0,3,3,3,#ffffff
24,0,3,3,3,#ffffff
25,0,3,3,3,#ffffff
26,0,3,2,2,#ffaaaa
27,0,3,0,0,#ff0000
28,0,3,1,1,#ff5555
29,0,3,3,3,#ffffff
30,0,3,3,3,#ffffff
31,0,3,3,3,#ffffff
32,0,3,3,3,#ffffff
33,0,3,3,3,#ffffff
34,0,3,3,3,#ffffff
35,0,3,3,3,#ffffff
36,0,3,3,3,#ffffff
37,0,3,3,3,#ffffff
38,0,3,3,3,#ffffff
39,0,3,3,3,#ffffff
40,0,3,3,3,#ffffff
41,0,3,3,3,#ffffff
42,0,3,3,3,#ffffff
43,0,3,3,3,#ffffff
44,0,3,3,3,#ffffff
45,0,3,3,3,#ffffff
0,1,3,3,3,#ffffff
1,1,3,3,3,#ffffff
2,1,3,3,3,#ffffff
3,1,3,3,3,#ffffff
4,1,3,3,3,#ffffff
5,1,3,3,3,#ffffff
6,1,3,3,3,#ffffff
7,1,3,3,3,#ffffff
8,1,3,3,3,#ffffff
9,1,3,3,3,#ffffff
10,1,3,3,3,#ffffff
11,1,3,3,3,#ffffff
12,1,3,3,3,#ffffff
13,1,3,3,3,#ffffff
14,1,3,3,3,#ffffff
15,1,3,3,3,#ffffff
16,1,3,3,3,#ffffff
17,1,3,3,3,#ffffff
18,1,3,3,3,#ffffff
19,1,3,3,3,#ffffff
20,1,3,3,3,#ffffff
21,1,3,3,3,#ffffff
22,1,3,0,0,#ff0000
23,1,3,0,0,#ff0000
